basin_id,gauge_id,gauge_name,gauge_country,gauge_provider,river,lon_snap,lat_snap,lon,lat,elevation,area_official,area_estreams,area_flag,area_rel,start_date,end_date,num_years,num_months,num_days,num_continuous_days,num_days_gaps,num_days_reliable,num_days_noflag,num_days_suspect,gauge_flag,duplicated_suspect,watershed_group,gauges_upstream,nested_catchments
AT000001,200014,Bangs,AT,AT_EHYD,Rhein,9.53483518,47.27374823,9.534835180274024,47.27374823144418,420,4647.9,4668.379,0,-0.4406075862217404,1996-01-01,2021-12-31,26,312,9497,9497,0.0,0.0,9497.0,0.0,B,['CH000197'],1,16,"['AT000001', 'CH000010', 'CH000046', 'CH000048', 'CH000062', 'CH000105', 'CH000113', 'CH000125', 'CH000129', 'CH000135', 'CH000139', 'CH000173', 'CH000175', 'CH000192', 'CH000197']"
AT000002,200048,Schruns (Vonbunweg),AT,AT_EHYD,Litz,9.913676603,47.08030125,9.913676603393986,47.08030125096045,673,102.0,102.287,0,-0.2813725490196138,1958-10-01,2021-12-31,64,759,23103,23103,0.0,0.0,23103.0,0.0,B,['CH000221'],1,1,['AT000002']
AT000003,231662,Loruens-Aeule,AT,AT_EHYD,Ill,9.847765104,47.13282061,9.847765104487962,47.13282061553542,579,535.2,536.299,0,-0.2053437967114971,1985-01-02,2021-12-31,37,444,13513,13513,0.0,0.0,13513.0,0.0,B,['CH000215'],1,2,"['AT000002', 'AT000003', 'CH000221']"
AT000004,200592,Kloesterle (OEBB),AT,AT_EHYD,Alfenz,10.06184292,47.12899384,10.06184292326845,47.1289938468501,1014,66.6,66.286,0,0.4714714714714609,1998-01-02,2021-12-31,24,288,8765,8765,0.0,0.0,8765.0,0.0,B,['CH000227'],1,1,['AT000004']
AT000005,200097,Buers (Bruecke L82),AT,AT_EHYD,Alvier,9.802668269,47.15077039,9.802668269683238,47.15077039253907,564,72.2,72.448,0,-0.343490304709128,1990-01-01,2019-12-31,30,360,10957,10957,0.0,0.0,10957.0,0.0,B,['CH000214'],1,3,"['AT000005', 'CH000214']"
AT000006,200105,Garsella,AT,AT_EHYD,Lutz,9.875898173,47.2266576,9.875898173039696,47.22665760983288,730,95.5,95.345,0,0.1623036649214671,1964-01-01,2021-12-31,58,696,21185,21185,0.0,0.0,21185.0,0.0,B,['CH000218'],1,3,"['AT000006', 'CH000218']"
AT000007,231688,Beschling,AT,AT_EHYD,Ill,9.678850047,47.20030117,9.678850047090709,47.20030117815325,485,1118.6,1143.768,0,-2.249955301269455,1985-01-01,2021-12-31,37,444,13514,13514,0.0,0.0,13514.0,0.0,B,['CH000205'],1,8,"['AT000002', 'AT000003', 'AT000004', 'AT000005', 'AT000006', 'AT000007', 'CH000205', 'CH000214', 'CH000215', 'CH000218', 'CH000221', 'CH000227']"
AT000008,200501,Amerluegen,AT,AT_EHYD,Samina,9.614203013,47.20597802,9.614203013427232,47.20597802326569,603,70.0,69.361,0,0.9128571428571368,1991-01-02,2021-12-31,31,372,11322,11322,0.0,0.0,11322.0,0.0,B,['CH000201'],1,1,['AT000008']
AT000009,200147,Gisingen,AT,AT_EHYD,Ill,9.578879907,47.26036218,9.57887990736449,47.26036218689349,434,1281.0,1281.796,0,-0.0621389539422364,1951-01-01,2021-12-31,71,852,25933,25933,0.0,0.0,25933.0,0.0,B,['CH000199'],1,10,"['AT000002', 'AT000003', 'AT000004', 'AT000005', 'AT000006', 'AT000007', 'AT000008', 'AT000009', 'CH000199', 'CH000201', 'CH000205', 'CH000214', 'CH000215', 'CH000218', 'CH000221', 'CH000227']"
AT000010,200154,Laterns,AT,AT_EHYD,Frutz,9.728852687,47.2569331,9.728852687844174,47.25693310196152,831,33.4,33.373,0,0.0808383233532964,1956-01-01,2021-12-31,66,792,24104,10517,3.0,0.0,24104.0,0.0,B,['CH000209'],1,1,['AT000010']
AT000011,200527,Brederis,AT,AT_EHYD,Ehbach,9.59413234,47.28368059,9.594132340232212,47.28368059809468,427,25.2,25.471,0,-1.075396825396829,1991-01-02,2021-12-31,31,372,11322,11322,0.0,0.0,11322.0,0.0,B,['CH000200'],1,3,"['AT000011', 'CH000200']"
AT000012,200162,Meiningen (Guefel),AT,AT_EHYD,Ehbach,9.579266986,47.30565999,9.579266986787992,47.305659998829,419,39.1,35.712,0,8.66496163682864,1986-01-01,2021-12-31,36,432,13149,13149,0.0,0.0,13149.0,0.0,B,['CH000198'],1,2,"['AT000011', 'AT000012', 'CH000200']"
