basin_id,lit_fra_ev,lit_fra_ig,lit_fra_mt,lit_fra_nd,lit_fra_pa,lit_fra_pb,lit_fra_pi,lit_fra_py,lit_fra_sc,lit_fra_sm,lit_fra_ss,lit_fra_su,lit_fra_va,lit_fra_vb,lit_fra_vi,lit_fra_wb,lit_dom,tot_area,bedrk_dep
AT000001,0.0,0.553,23.464,0.0,2.657,0.042,0.19,0.0,38.753,5.521,3.888,22.064,0.776,1.858,0.0,0.0,sc,100.0,1.124
AT000002,0.0,0.0,88.549,0.0,0.0,0.0,0.0,0.0,4.181,7.27,0.0,0.0,0.0,0.0,0.0,0.0,mt,100.0,0.565
AT000003,0.0,0.112,84.653,0.0,0.0,0.0,0.0,0.0,13.194,1.969,0.0,0.07,0.0,0.003,0.0,0.0,mt,100.0,0.593
AT000004,0.0,0.0,59.94,0.0,0.0,0.0,0.0,0.0,40.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mt,100.0,0.564
AT000005,0.0,0.0,15.582,0.0,0.0,0.0,0.0,0.0,82.065,0.885,0.0,0.0,0.0,0.0,0.0,0.0,sc,100.0,0.445
AT000006,0.0,0.0,6.988,0.0,0.0,0.0,0.0,0.0,77.282,15.73,0.0,0.0,0.0,0.0,0.0,0.0,sc,100.0,0.512
AT000007,0.0,0.052,48.014,0.0,0.0,0.0,0.0,0.0,40.732,11.075,0.0,0.033,0.0,0.002,0.0,0.0,mt,100.0,0.678
AT000008,0.0,0.0,0.445,0.0,0.0,0.0,0.0,0.0,74.719,11.407,2.277,11.153,0.0,0.0,0.0,0.0,sc,100.0,0.559
AT000009,0.0,0.047,42.867,0.0,0.0,0.0,0.0,0.0,42.183,14.063,0.123,0.633,0.0,0.001,0.0,0.0,mt,100.0,0.73
AT000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.915,77.085,0.0,0.0,0.0,0.0,0.0,0.0,sm,100.0,0.596
AT000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sc,100.0,5.591
AT000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sc,100.0,14.905
AT000013,0.0,0.419,26.085,0.0,1.967,0.031,0.141,0.0,41.114,7.495,2.903,17.702,0.574,1.376,0.0,0.0,sc,100.0,1.458
AT000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.686,10.314,0.0,0.0,0.0,0.0,0.0,0.0,sc,100.0,0.761
AT000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.974,95.026,0.0,0.0,0.0,0.0,0.0,0.0,sm,100.0,0.968
AT000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.061,50.939,0.0,0.0,0.0,0.0,0.0,0.0,sm,100.0,6.172
AT000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.69,4.31,0.0,0.0,0.0,0.0,0.0,0.0,sc,100.0,2.8
AT000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.812,4.188,0.0,0.0,0.0,0.0,0.0,0.0,sc,100.0,18.185
AT000019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.003,32.997,0.0,0.0,0.0,0.0,0.0,0.0,sc,100.0,11.52
AT000020,0.0,0.0,11.668,0.0,0.0,0.0,0.0,0.0,84.809,3.522,0.0,0.0,0.0,0.0,0.0,0.0,sc,100.0,0.576
AT000021,0.0,0.0,7.85,0.0,0.0,0.0,0.0,0.0,53.45,38.699,0.0,0.0,0.0,0.0,0.0,0.0,sc,100.0,0.567
AT000022,0.0,0.0,5.084,0.0,0.0,0.0,0.0,0.0,69.482,25.434,0.0,0.0,0.0,0.0,0.0,0.0,sc,100.0,0.584
AT000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sc,100.0,0.8
AT000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,sc,100.0,0.615
AT000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,sm,100.0,0.625
AT000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.17,76.83,0.0,0.0,0.0,0.0,0.0,0.0,sm,100.0,0.761
AT000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.052,86.225,0.0,4.722,0.0,0.0,0.0,0.0,sm,100.0,0.835
AT000028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.21,0.0,40.79,0.0,0.0,0.0,0.0,sm,100.0,3.753
