basin_id,dam_num,res_num,dam_yr_first,dam_yr_last,res_tot_sto,lakes_num,lakes_tot_area,lakes_tot_vol
AT000001,23.0,10.0,1954.0,1968.0,537.9,10.0,6.62,542.33
AT000002,0.0,0.0,,,,0.0,0.0,0.0
AT000003,4.0,4.0,,,,3.0,1.46,12.91
AT000004,0.0,0.0,,,,0.0,0.0,0.0
AT000005,1.0,1.0,,,,1.0,0.89,8.27
AT000006,0.0,0.0,,,,0.0,0.0,0.0
AT000007,7.0,6.0,,,,5.0,2.67,23.9
AT000008,0.0,0.0,,,,0.0,0.0,0.0
AT000009,7.0,6.0,,,,5.0,2.67,23.9
AT000010,0.0,0.0,,,,0.0,0.0,0.0
AT000011,0.0,0.0,,,,0.0,0.0,0.0
AT000012,0.0,0.0,,,,0.0,0.0,0.0
AT000013,30.0,16.0,1954.0,1968.0,537.9,16.0,9.43,567.33
AT000014,0.0,0.0,,,,0.0,0.0,0.0
AT000015,0.0,0.0,,,,0.0,0.0,0.0
AT000016,0.0,0.0,,,,0.0,0.0,0.0
AT000017,0.0,0.0,,,,0.0,0.0,0.0
AT000018,0.0,0.0,,,,0.0,0.0,0.0
AT000019,0.0,0.0,,,,0.0,0.0,0.0
AT000020,0.0,0.0,,,,0.0,0.0,0.0
AT000021,0.0,0.0,,,,0.0,0.0,0.0
AT000022,0.0,0.0,,,,0.0,0.0,0.0
AT000023,0.0,0.0,,,,0.0,0.0,0.0
AT000024,0.0,0.0,,,,0.0,0.0,0.0
AT000025,0.0,0.0,,,,0.0,0.0,0.0
AT000026,0.0,0.0,,,,0.0,0.0,0.0
AT000027,1.0,1.0,,,,0.0,0.0,0.0
AT000028,0.0,0.0,,,,0.0,0.0,0.0
AT000029,2.0,1.0,,,,0.0,0.0,0.0
AT000030,0.0,0.0,,,,0.0,0.0,0.0
AT000032,0.0,0.0,,,,0.0,0.0,0.0
AT000033,0.0,0.0,,,,0.0,0.0,0.0
AT000034,0.0,0.0,,,,0.0,0.0,0.0
AT000035,0.0,0.0,,,,0.0,0.0,0.0
AT000036,0.0,0.0,,,,0.0,0.0,0.0
AT000037,0.0,0.0,,,,0.0,0.0,0.0
AT000038,2.0,0.0,,,,0.0,0.0,0.0
AT000039,1.0,1.0,,,,2.0,1.22,11.92
AT000040,0.0,0.0,,,,0.0,0.0,0.0
AT000041,0.0,0.0,,,,0.0,0.0,0.0
AT000042,0.0,0.0,,,,0.0,0.0,0.0
AT000043,0.0,0.0,,,,1.0,0.17,1.55
AT000044,0.0,0.0,,,,0.0,0.0,0.0
AT000045,2.0,2.0,1968.0,1968.0,164.6,6.0,8.39,286.03
AT000046,2.0,2.0,1968.0,1968.0,164.6,6.0,8.39,286.03
AT000047,0.0,0.0,,,,0.0,0.0,0.0
AT000048,2.0,1.0,,,,0.0,0.0,0.0
AT000049,0.0,0.0,,,,0.0,0.0,0.0
AT000050,0.0,0.0,,,,0.0,0.0,0.0
AT000051,2.0,1.0,,,,0.0,0.0,0.0
AT000052,0.0,0.0,,,,0.0,0.0,0.0
AT000053,6.0,4.0,1964.0,1968.0,304.6,7.0,9.72,426.03
AT000054,0.0,0.0,,,,1.0,0.37,3.76
AT000055,0.0,0.0,,,,0.0,0.0,0.0
AT000056,0.0,0.0,,,,0.0,0.0,0.0
AT000057,0.0,0.0,,,,0.0,0.0,0.0
AT000058,0.0,0.0,,,,0.0,0.0,0.0
AT000059,0.0,0.0,,,,0.0,0.0,0.0
AT000060,0.0,0.0,,,,0.0,0.0,0.0
AT000061,0.0,0.0,,,,0.0,0.0,0.0
AT000062,2.0,2.0,1980.0,1980.0,60.5,2.0,0.77,61.59
AT000063,8.0,6.0,1964.0,1980.0,365.1,10.0,10.86,491.38
AT000064,8.0,6.0,1964.0,1980.0,365.1,10.0,10.86,491.38
AT000065,0.0,0.0,,,,0.0,0.0,0.0
AT000066,8.0,6.0,1964.0,1980.0,365.1,10.0,10.86,491.38
AT000067,0.0,0.0,,,,0.0,0.0,0.0
AT000068,0.0,0.0,,,,0.0,0.0,0.0
AT000069,0.0,0.0,,,,0.0,0.0,0.0
AT000070,0.0,0.0,,,,0.0,0.0,0.0
AT000071,0.0,0.0,,,,0.0,0.0,0.0
AT000072,0.0,0.0,,,,0.0,0.0,0.0
AT000073,0.0,0.0,,,,0.0,0.0,0.0
AT000074,1.0,0.0,,,,0.0,0.0,0.0
AT000075,0.0,0.0,,,,0.0,0.0,0.0
AT000076,0.0,0.0,,,,0.0,0.0,0.0
AT000077,9.0,6.0,1964.0,1980.0,365.1,10.0,10.86,491.38
AT000078,1.0,1.0,1986.0,1986.0,90.0,1.0,0.8,90.0
AT000079,0.0,0.0,,,,0.0,0.0,0.0
AT000080,1.0,1.0,1971.0,1971.0,129.0,1.0,1.13,129.0
AT000081,0.0,0.0,,,,0.0,0.0,0.0
AT000082,3.0,3.0,1971.0,1986.0,219.0,3.0,2.4,224.62
AT000083,0.0,0.0,,,,0.0,0.0,0.0
AT000084,3.0,3.0,1971.0,1986.0,219.0,3.0,2.4,224.62
AT000085,1.0,1.0,1966.0,1966.0,53.5,2.0,1.04,54.26
