basin_id,q_mean,q_runoff_ratio,q_elas_Sankarasubramanian,slope_sawicz,baseflow_index,hfd_mean,hfd_std,q_5,q_95,hq_freq,hq_dur,lq_freq,lq_dur,zero_q_freq,p_mean,pet_mean,aridity,p_seasonality,frac_snow,hp_freq,hp_dur,hp_time,lp_freq,lp_dur,lp_time,num_years_hydro,start_date_hydro,end_date_hydro,num_years_climatic,start_date_climatic,end_date_climatic
AT000001,2.824,0.727,1.266,1.505,0.76,237.6,12.858,1.029,6.607,0.077,1.0,0.346,1.125,0.0,3.797,1.499,0.395,0.309,0.326,13.239,1.172,Summer,198.993,3.561,Fall,26.0,1996-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000002,3.898,1.004,1.223,2.467,0.72,247.952,10.932,0.98,10.727,0.964,2.44,5.47,13.308,0.0,3.912,1.526,0.39,0.331,0.332,15.389,1.215,Summer,204.041,3.576,Fall,64.0,1958-10-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000003,0.915,0.247,1.802,0.979,0.687,233.361,27.141,0.404,2.819,6.136,2.609,,,0.0,3.693,1.516,0.411,0.346,0.337,15.212,1.203,Summer,202.001,3.592,Fall,37.0,1985-01-02 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000004,5.079,1.319,0.324,2.188,0.747,242.783,10.736,1.499,13.295,0.042,1.0,1.083,4.333,0.0,3.767,1.445,0.384,0.338,0.361,15.956,1.217,Summer,205.803,3.598,Fall,24.0,1998-01-02 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000005,3.319,0.806,0.82,1.967,0.756,239.207,14.642,1.064,7.692,0.233,1.4,,,0.0,4.048,1.814,0.448,0.328,0.2,15.266,1.186,Summer,201.796,3.547,Fall,30.0,1990-01-01 00:00:00,2019-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000006,5.185,1.185,1.126,2.682,0.642,238.737,14.444,1.033,15.224,0.862,1.429,18.362,10.441,0.0,4.359,1.694,0.389,0.305,0.257,14.899,1.201,Summer,198.027,3.5,Fall,58.0,1964-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000007,2.038,0.516,1.505,1.65,0.725,233.806,15.056,0.689,4.835,0.378,1.556,0.486,2.0,0.0,3.916,1.616,0.413,0.332,0.292,15.144,1.185,Summer,200.708,3.545,Fall,37.0,1985-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000008,2.141,0.536,1.396,1.517,0.662,219.167,14.473,0.734,5.643,2.097,1.585,2.194,8.5,0.0,3.93,1.878,0.478,0.336,0.168,15.647,1.182,Summer,203.307,3.566,Fall,31.0,1991-01-02 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000009,4.402,1.121,0.99,1.727,0.763,239.243,12.888,1.523,9.706,0.014,1.0,0.831,1.204,0.0,3.917,1.645,0.42,0.333,0.278,14.967,1.182,Summer,200.708,3.549,Fall,71.0,1951-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000010,5.28,1.087,1.199,2.669,0.571,227.154,20.751,0.831,16.802,4.561,1.72,34.898,7.754,0.0,4.84,1.904,0.393,0.286,0.154,15.049,1.185,Summer,197.279,3.485,Fall,66.0,1956-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000011,3.447,0.855,0.542,0.926,0.79,193.3,19.598,1.272,5.563,,,4.033,4.032,0.0,3.981,1.987,0.499,0.362,0.092,16.219,1.172,Summer,206.028,3.589,Fall,31.0,1991-01-02 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000012,4.628,1.149,0.741,0.796,0.869,197.886,21.535,2.492,7.04,0.028,1.0,,,0.0,3.986,1.999,0.501,0.365,0.085,16.26,1.173,Summer,207.062,3.607,Fall,36.0,1986-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000013,3.17,0.822,1.243,1.708,0.765,241.686,13.04,1.137,7.44,0.07,1.0,0.085,1.0,0.0,3.843,1.55,0.403,0.314,0.304,13.035,1.151,Summer,195.891,3.479,Fall,71.0,1951-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000014,4.574,0.928,0.901,2.824,0.419,218.677,22.517,0.471,16.147,12.091,1.4,67.817,5.459,0.0,4.905,1.947,0.397,0.287,0.13,15.171,1.184,Summer,198.395,3.5,Fall,66.0,1956-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000015,3.679,0.717,1.361,2.645,0.419,204.718,31.797,0.393,13.156,11.726,1.408,60.779,6.265,0.0,5.096,1.93,0.379,0.272,0.144,15.185,1.183,Summer,196.408,3.486,Fall,40.0,1982-01-02 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000016,3.597,0.74,1.262,2.431,0.477,215.169,25.411,0.527,11.134,7.06,1.309,38.863,5.079,0.0,4.835,1.954,0.404,0.292,0.126,15.334,1.181,Summer,199.007,3.509,Fall,66.0,1956-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000017,2.76,0.677,1.174,2.838,0.46,214.348,33.727,0.367,8.616,5.376,1.449,50.214,5.965,0.0,4.0,2.027,0.507,0.372,0.068,16.749,1.168,Summer,208.817,3.632,Fall,24.0,1998-01-02 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000018,2.231,0.549,1.458,1.832,0.551,209.556,34.567,0.513,6.542,4.218,1.386,10.848,4.99,0.0,4.021,2.026,0.504,0.37,0.07,16.654,1.168,Summer,209.062,3.634,Fall,46.0,1976-01-02 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
