basin_id,sno_cov_01,sno_cov_02,sno_cov_03,sno_cov_04,sno_cov_05,sno_cov_06,sno_cov_07,sno_cov_08,sno_cov_09,sno_cov_10,sno_cov_11,sno_cov_12,sno_cov_mean
AT000001,65.554,65.329,61.788,50.211,30.242,10.119,2.076,1.039,4.355,15.108,40.686,59.626,33.844
AT000002,69.198,70.218,67.351,57.552,35.371,8.256,0.583,0.574,3.818,15.662,42.777,64.051,36.284
AT000003,68.691,69.367,66.831,57.761,36.543,10.497,1.869,1.336,5.388,17.001,43.811,64.025,36.927
AT000004,72.622,74.142,74.456,66.016,43.277,12.571,1.264,0.67,4.943,17.945,46.57,68.039,40.21
AT000005,68.583,67.983,64.389,51.369,27.579,7.658,1.67,1.133,4.902,15.713,40.106,62.742,34.486
AT000006,70.331,70.315,66.735,48.304,24.013,4.903,0.214,0.246,2.425,11.083,35.07,62.735,33.031
AT000007,66.197,65.98,61.205,48.939,28.083,7.286,1.122,0.826,3.833,13.558,37.496,60.114,32.887
AT000008,62.546,60.553,55.674,37.812,11.306,1.42,0.162,0.3,1.558,8.711,29.895,56.475,27.201
AT000009,64.586,63.958,58.525,45.993,25.701,6.578,1.011,0.76,3.513,12.667,35.625,58.337,31.438
AT000010,68.526,69.979,68.102,52.38,18.706,0.833,0.215,0.217,1.342,10.778,35.811,62.036,32.41
AT000011,31.168,23.046,5.791,0.332,0.136,0.011,0.009,0.073,0.086,0.68,5.638,21.747,7.393
AT000012,31.169,22.943,5.462,0.279,0.114,0.025,0.007,0.054,0.114,0.524,5.079,20.248,7.168
AT000013,64.265,63.744,59.336,47.43,27.871,8.85,1.744,0.928,3.961,13.954,38.204,58.072,32.363
AT000014,57.903,53.026,43.041,18.129,1.765,0.093,0.046,0.115,0.378,4.754,22.879,50.942,21.089
AT000015,54.669,47.956,30.943,4.786,0.176,0.162,0.025,0.033,0.166,2.52,13.326,44.568,16.611
AT000016,48.796,43.32,28.922,9.321,0.869,0.082,0.026,0.067,0.23,2.878,15.114,39.965,15.799
AT000017,50.278,42.092,24.356,6.87,0.39,0.165,0.014,0.049,0.37,3.602,18.967,45.291,16.037
AT000018,37.196,28.842,10.468,1.762,0.133,0.052,0.007,0.048,0.102,1.276,8.792,27.041,9.643
AT000019,44.107,37.499,21.475,6.266,0.572,0.07,0.018,0.059,0.177,2.223,12.524,34.695,13.307
AT000020,73.664,75.486,76.038,65.445,31.899,5.43,0.163,0.212,3.433,14.292,42.252,67.946,38.022
AT000021,71.003,72.101,70.894,53.57,20.752,2.294,0.134,0.176,2.227,10.575,35.64,64.063,33.619
AT000022,69.218,69.57,67.021,47.778,17.58,1.671,0.119,0.161,1.879,9.724,33.773,61.865,31.697
AT000023,63.761,60.834,50.565,22.128,2.882,0.156,0.025,0.023,0.704,5.031,23.311,54.037,23.621
AT000024,71.957,72.808,74.017,62.671,26.234,2.91,0.149,0.139,1.958,11.034,37.039,66.769,35.64
AT000025,68.417,68.101,66.475,39.995,4.27,0.076,0.026,0.035,0.682,5.441,25.245,58.361,28.093
AT000026,66.505,66.038,62.916,34.264,4.816,0.143,0.069,0.086,0.646,5.256,23.527,56.211,26.706
AT000027,64.032,61.158,51.972,21.124,2.356,0.088,0.043,0.074,0.413,3.885,21.056,52.739,23.245
AT000028,55.079,47.909,30.853,2.878,0.058,0.042,0.014,0.093,0.222,0.826,10.661,41.92,15.88
AT000029,62.964,60.039,50.619,25.28,6.995,0.629,0.062,0.092,0.872,5.17,22.536,52.798,24.005
AT000030,45.247,37.853,19.757,1.875,0.012,0.0,0.004,0.158,0.085,1.135,10.722,34.896,12.645
AT000032,43.969,37.122,17.472,1.516,0.024,0.004,0.012,0.072,0.074,0.414,8.883,28.747,11.526
AT000033,73.478,76.305,79.592,78.049,53.415,13.626,0.624,0.649,6.465,20.108,51.359,70.427,43.675
AT000034,74.239,77.284,79.563,76.53,50.172,11.12,0.494,0.631,5.287,17.904,49.247,70.331,42.733
AT000035,73.369,75.726,76.712,69.614,40.576,9.2,0.413,0.533,4.807,16.363,46.117,68.689,40.177
AT000036,70.547,71.47,66.908,51.614,25.839,5.531,0.301,0.441,3.603,12.798,39.649,64.422,34.427
AT000037,68.827,69.878,65.84,49.328,17.484,2.269,0.145,0.398,2.199,10.618,34.561,61.871,31.951
AT000038,68.842,69.921,66.21,50.997,24.891,5.257,0.317,0.436,3.226,11.961,36.842,62.286,33.432
AT000039,59.654,58.514,50.357,24.099,5.165,0.4,0.113,0.116,0.77,5.887,23.092,52.018,23.349
AT000040,68.256,69.226,65.951,52.512,22.091,3.633,0.152,0.34,3.909,12.204,37.109,61.931,33.109
AT000041,58.557,57.915,48.33,24.916,4.449,0.304,0.231,0.147,0.869,5.41,24.929,51.544,23.134
AT000042,66.862,68.816,66.938,52.58,18.36,2.32,0.174,0.268,2.814,11.461,34.339,60.352,32.107
AT000043,62.332,61.722,54.586,32.66,11.309,2.016,0.209,0.331,2.058,8.831,29.737,55.956,26.812
AT000044,69.197,69.742,67.927,57.643,35.801,11.041,1.019,0.891,5.06,19.131,48.874,64.734,37.588
AT000045,68.787,69.298,69.403,59.835,39.511,14.579,3.806,2.145,5.653,20.429,50.361,64.417,39.019
AT000046,68.208,68.492,67.927,58.061,37.784,13.722,3.45,1.948,5.433,19.724,48.935,63.797,38.123
AT000047,71.681,72.375,75.928,77.104,71.937,52.77,33.66,28.297,36.159,50.607,65.745,71.024,58.941
AT000048,71.957,74.239,76.98,75.703,57.815,24.663,4.512,1.781,9.137,25.293,55.695,69.982,45.646
AT000049,72.298,73.796,76.411,73.386,55.965,27.349,8.573,4.502,12.509,28.609,57.092,70.194,46.724
AT000050,70.444,71.9,72.484,65.774,45.82,17.922,3.781,2.059,7.828,22.727,51.915,67.506,41.68
AT000051,69.456,70.787,69.776,62.115,42.354,16.002,3.007,1.583,6.773,20.471,48.345,65.96,39.719
AT000052,58.004,58.697,50.647,34.757,11.489,1.389,0.124,0.25,1.65,6.873,24.517,50.03,24.869
AT000053,67.14,67.569,65.733,55.975,36.402,13.558,3.459,2.121,5.839,19.027,46.381,62.755,37.163
AT000054,71.097,72.108,73.526,69.069,54.202,32.437,15.901,11.692,19.279,34.033,55.925,68.744,48.168
AT000055,67.831,69.329,73.499,76.653,80.404,80.182,67.757,58.355,63.081,70.129,70.535,67.734,70.457
AT000056,71.123,71.649,74.693,74.605,68.704,53.001,34.258,26.504,33.641,51.262,67.366,70.115,58.077
AT000057,70.867,71.89,75.389,76.431,69.689,46.939,25.301,17.942,25.959,46.588,66.598,70.114,55.309
AT000058,69.739,70.171,71.67,68.155,55.947,34.518,17.323,12.202,18.88,36.813,59.738,67.644,48.567
AT000059,71.245,72.623,74.477,72.521,47.825,15.257,1.843,0.834,6.723,22.406,51.741,69.014,42.209
AT000060,68.348,68.762,68.553,63.391,49.829,28.701,13.331,9.286,15.639,31.472,54.533,65.79,44.803
AT000061,72.874,74.866,76.407,76.167,60.893,20.81,1.623,0.914,8.847,24.448,55.099,71.722,45.389
AT000062,67.395,67.736,66.696,61.247,47.168,26.15,11.814,8.236,14.292,29.427,52.532,64.695,43.116
AT000063,66.832,67.196,65.259,56.349,38.05,16.007,5.221,3.447,7.639,20.997,47.129,62.819,38.079
AT000064,66.21,66.501,64.085,55.059,37.008,15.503,5.048,3.337,7.43,20.507,46.249,62.137,37.423
