basin_id,root_dep_mean,root_dep_max,root_dep_min,root_dep_p05,root_dep_p25,root_dep_med,root_dep_p75,root_dep_p90,soil_tawc_mean,soil_tawc_max,soil_tawc_min,soil_tawc_p05,soil_tawc_p25,soil_tawc_med,soil_tawc_p75,soil_tawc_p90,soil_fra_sand_mean,soil_fra_sand_max,soil_fra_sand_min,soil_fra_sand_p05,soil_fra_sand_p25,soil_fra_sand_med,soil_fra_sand_p75,soil_fra_sand_p90,soil_fra_silt_mean,soil_fra_silt_max,soil_fra_silt_min,soil_fra_silt_p05,soil_fra_silt_p25,soil_fra_silt_med,soil_fra_silt_p75,soil_fra_silt_p90,soil_fra_clay_mean,soil_fra_clay_max,soil_fra_clay_min,soil_fra_clay_p05,soil_fra_clay_p25,soil_fra_clay_med,soil_fra_clay_p75,soil_fra_clay_p90,soil_fra_grav_mean,soil_fra_grav_max,soil_fra_grav_min,soil_fra_grav_p05,soil_fra_grav_p25,soil_fra_grav_med,soil_fra_grav_p75,soil_fra_grav_p90,soil_bd_mean,soil_bd_max,soil_bd_min,soil_bd_p05,soil_bd_p25,soil_bd_med,soil_bd_p75,soil_bd_p90,soil_oc_mean,soil_oc_max,soil_oc_min,soil_oc_p05,soil_oc_p25,soil_oc_med,soil_oc_p75,soil_oc_p90
AT000001,81.571,130.0,0.0,0.0,10.0,115.0,130.0,130.0,28.738,73.005,0.0,0.0,12.567,37.617,47.279,47.279,58.196,87.0,0.0,0.0,41.0,73.0,78.0,87.0,16.337,64.0,0.0,0.0,9.0,15.0,21.0,40.0,7.973,40.0,0.0,0.0,4.0,8.0,9.0,19.0,9.062,21.0,0.0,0.0,1.0,4.0,19.0,21.0,1.303,1.73,0.0,0.0,1.41,1.59,1.65,1.73,1.218,33.63,0.0,0.0,0.7,0.9,1.93,2.18
AT000002,58.6,70.0,30.0,30.0,50.0,70.0,70.0,70.0,46.474,51.537,37.702,42.817,42.817,42.817,51.537,51.537,54.92,87.0,37.0,37.0,42.0,42.0,87.0,87.0,29.65,44.0,9.0,9.0,9.0,38.0,38.0,38.0,15.43,20.0,4.0,4.0,4.0,20.0,20.0,20.0,8.14,16.0,3.0,3.0,3.0,10.0,10.0,10.0,1.502,1.73,1.41,1.41,1.41,1.41,1.73,1.73,1.82,2.4,1.45,1.45,1.45,1.45,2.18,2.4
AT000003,51.66,130.0,0.0,30.0,30.0,50.0,70.0,70.0,45.044,56.663,0.0,42.817,42.817,43.422,51.537,51.537,49.262,87.0,0.0,37.0,42.0,42.0,49.0,87.0,30.836,44.0,0.0,9.0,31.0,38.0,38.0,44.0,16.883,51.0,0.0,4.0,19.0,20.0,20.0,24.0,10.294,21.0,0.0,3.0,6.0,10.0,16.0,21.0,1.425,1.73,0.0,1.38,1.41,1.41,1.43,1.73,1.714,2.4,0.0,0.74,1.45,1.61,2.18,2.18
AT000004,49.412,70.0,30.0,30.0,30.0,40.0,70.0,70.0,49.256,51.537,37.702,43.422,48.174,48.174,51.537,51.537,39.956,73.0,20.0,37.0,37.0,42.0,42.0,42.0,40.088,44.0,18.0,34.0,38.0,38.0,44.0,44.0,19.956,51.0,9.0,19.0,19.0,20.0,20.0,20.0,13.044,21.0,2.0,10.0,10.0,13.0,16.0,16.0,1.409,1.59,1.23,1.41,1.41,1.41,1.41,1.41,1.771,2.4,0.96,1.45,1.45,1.53,2.13,2.13
AT000005,31.781,100.0,0.0,30.0,30.0,30.0,30.0,30.0,44.098,48.174,0.0,31.08,43.422,48.174,48.174,48.174,39.795,78.0,0.0,37.0,37.0,37.0,42.0,42.0,38.151,44.0,0.0,24.6,34.0,44.0,44.0,44.0,20.685,51.0,0.0,15.0,19.0,19.0,24.0,24.0,17.658,21.0,0.0,16.0,16.0,16.0,21.0,21.0,1.384,1.6,0.0,1.38,1.38,1.41,1.41,1.41,1.836,2.13,0.0,1.224,1.61,2.13,2.13,2.13
AT000006,44.348,130.0,30.0,30.0,30.0,30.0,30.0,130.0,47.956,54.757,43.422,43.422,48.174,48.174,48.174,48.174,37.565,42.0,20.0,37.0,37.0,37.0,37.0,42.0,42.424,48.0,29.0,34.0,44.0,44.0,44.0,44.0,20.011,51.0,18.0,19.0,19.0,19.0,19.0,22.0,15.207,21.0,2.0,9.0,16.0,16.0,16.0,16.0,1.405,1.41,1.23,1.38,1.41,1.41,1.41,1.41,1.91,2.13,0.6,0.996,2.13,2.13,2.13,2.13
AT000007,49.06,130.0,0.0,30.0,30.0,30.0,70.0,70.0,46.396,56.663,0.0,42.817,43.422,48.174,48.174,51.537,43.246,87.0,0.0,34.0,37.0,42.0,42.0,73.0,36.366,48.0,0.0,9.0,34.0,38.0,44.0,44.0,18.543,51.0,0.0,4.0,19.0,19.0,20.0,24.0,12.815,21.0,0.0,3.0,10.0,16.0,16.0,21.0,1.409,1.73,0.0,1.38,1.41,1.41,1.41,1.59,1.759,2.4,0.0,0.6,1.45,2.13,2.13,2.18
AT000008,111.493,130.0,30.0,30.0,130.0,130.0,130.0,130.0,37.007,48.174,34.319,34.319,34.319,34.319,34.319,48.174,71.657,80.0,37.0,37.0,80.0,80.0,80.0,80.0,18.209,44.0,12.0,12.0,12.0,12.0,12.0,44.0,10.134,19.0,8.0,8.0,8.0,8.0,8.0,19.0,17.612,18.0,16.0,16.0,18.0,18.0,18.0,18.0,1.579,1.62,1.41,1.41,1.62,1.62,1.62,1.62,0.881,2.13,0.58,0.58,0.58,0.58,0.58,2.13
AT000009,53.414,130.0,0.0,30.0,30.0,30.0,70.0,130.0,46.067,56.663,0.0,34.319,43.422,48.174,48.174,51.537,44.527,87.0,0.0,34.0,37.0,42.0,42.0,80.0,35.688,64.0,0.0,9.0,34.0,38.0,44.0,44.0,18.137,51.0,0.0,4.0,19.0,19.0,20.0,24.0,13.049,21.0,0.0,3.0,10.0,16.0,16.0,21.0,1.414,1.73,0.0,1.38,1.41,1.41,1.41,1.62,1.733,4.59,0.0,0.58,1.45,2.13,2.13,2.18
AT000010,67.714,130.0,30.0,30.0,30.0,50.0,130.0,130.0,51.113,55.52,48.174,48.174,48.174,48.174,55.52,55.52,34.771,42.0,24.0,24.0,24.0,37.0,42.0,42.0,46.971,64.0,34.0,34.0,36.0,44.0,64.0,64.0,18.257,24.0,12.0,12.0,12.0,19.0,22.0,23.6,13.771,21.0,4.0,7.5,9.0,15.0,16.0,19.0,1.416,1.45,1.38,1.38,1.4,1.41,1.45,1.45,1.975,2.95,0.99,1.0,1.0,2.13,2.95,2.95
