basin_id,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens
AT000001,3555.408,1874.076,420.622,24.122,3.395,78.59,0.612,0.151
AT000002,2803.984,1773.178,674.209,26.095,0.463,87.662,0.539,0.151
AT000003,3293.054,1843.003,583.51,25.735,1.497,82.952,0.577,0.141
AT000004,2878.033,1890.429,1022.324,27.324,0.351,88.023,0.587,0.095
AT000005,2938.964,1772.902,567.275,28.647,1.719,83.629,0.612,0.134
AT000006,2671.37,1605.505,736.405,28.43,0.431,89.636,0.636,0.108
AT000007,3293.054,1659.784,481.164,25.714,3.396,81.664,0.601,0.153
AT000008,2504.599,1556.895,620.419,27.969,0.311,89.953,0.549,0.155
AT000009,3293.054,1608.043,436.82,25.236,4.022,80.088,0.569,0.156
AT000010,1957.546,1470.319,845.01,23.229,0.531,80.367,0.655,0.091
AT000011,1182.048,537.903,425.756,8.361,48.757,24.329,0.583,0.318
AT000012,1182.048,508.423,420.787,6.245,62.098,17.35,0.559,0.318
AT000013,3555.408,1767.254,401.239,23.842,4.997,77.263,0.609,0.158
AT000014,1931.307,1143.424,479.481,21.747,0.403,77.582,0.617,0.059
AT000015,1367.345,839.5,428.13,12.428,6.036,36.273,0.6,0.0
AT000016,1931.307,876.367,399.264,14.901,19.612,49.429,0.612,0.145
AT000017,1614.705,933.146,410.123,22.116,9.054,74.444,0.551,0.0
AT000018,1629.425,582.225,399.085,10.044,56.429,29.599,0.58,0.098
AT000019,1931.307,756.444,398.709,12.863,34.81,41.185,0.59,0.138
AT000020,2593.626,1708.788,956.926,26.98,1.186,84.219,0.641,0.096
AT000021,2593.626,1545.447,778.395,25.034,1.515,82.275,0.531,0.125
AT000022,2593.626,1460.884,678.607,24.638,2.074,80.6,0.537,0.149
AT000023,1807.943,1112.796,647.287,22.667,4.88,78.969,0.454,0.0
AT000024,2065.024,1474.611,986.675,21.698,2.274,69.913,0.693,0.019
AT000025,1808.134,1288.504,979.381,22.006,1.111,74.72,0.615,0.0
AT000026,1808.134,1226.559,750.662,18.492,2.11,64.053,0.559,0.178
AT000027,1808.134,1090.332,555.234,16.671,3.422,53.421,0.704,0.197
AT000028,1088.822,760.522,538.311,7.338,20.93,8.683,0.56,0.089
AT000029,2593.626,1115.442,423.531,17.837,5.6,54.832,0.711,0.185
AT000030,1066.283,756.889,411.871,13.207,5.678,37.653,0.611,0.0
AT000032,1064.038,631.546,399.677,5.765,32.535,5.455,0.579,0.197
AT000033,2769.187,2079.661,1459.349,24.343,1.193,79.858,0.662,0.065
AT000034,2769.187,1990.464,1440.928,24.655,1.324,79.226,0.549,0.121
AT000035,2844.404,1936.391,1111.932,26.255,0.803,83.77,0.57,0.136
AT000036,2608.519,1710.948,970.113,32.797,0.362,93.145,0.542,0.139
AT000037,2506.119,1689.912,941.594,29.91,0.405,92.158,0.654,0.14
AT000038,3009.3,1739.663,839.624,27.787,2.969,85.16,0.505,0.154
AT000039,2205.835,1270.698,800.975,19.318,10.245,61.666,0.654,0.187
AT000040,2724.039,1769.236,958.963,30.484,0.7,87.307,0.694,0.146
AT000041,2342.449,1397.551,967.135,20.206,5.31,62.586,0.77,0.059
AT000042,2735.749,1783.637,1197.402,27.638,1.322,81.562,0.656,0.125
AT000043,2849.686,1506.959,958.978,24.053,6.079,72.521,0.674,0.041
AT000044,3242.824,2278.657,980.277,27.216,0.301,87.788,0.686,0.11
AT000045,4020.411,2320.019,969.306,25.523,1.837,82.473,0.567,0.144
AT000046,4020.411,2282.757,859.958,25.582,1.782,82.749,0.528,0.141
AT000047,3492.719,2807.078,1874.943,21.028,1.863,64.253,0.63,0.054
AT000048,3118.003,2254.043,1320.135,26.36,0.554,85.602,0.646,0.1
AT000049,3370.006,2365.265,1546.773,26.295,0.951,81.734,0.652,0.168
AT000050,3370.006,2232.007,1024.307,26.401,0.569,85.717,0.604,0.143
AT000051,3370.006,2124.681,780.502,26.775,0.622,86.969,0.599,0.141
AT000052,2623.217,1537.685,814.68,26.136,2.877,79.989,0.675,0.064
AT000053,4020.411,2178.617,708.538,25.98,1.781,83.419,0.497,0.141
AT000054,3726.959,2544.309,1343.15,28.142,0.87,82.639,0.65,0.129
AT000055,3588.346,3122.227,2636.747,16.856,0.157,47.081,0.628,0.0
AT000056,3741.22,2890.406,1893.721,22.426,0.352,73.131,0.622,0.094
AT000057,3484.611,2777.818,1884.98,24.552,0.997,77.042,0.664,0.081
AT000058,3741.22,2622.288,1189.057,26.181,0.53,82.521,0.61,0.137
AT000059,3053.917,2357.69,1593.539,29.056,0.342,84.76,0.626,0.0
AT000060,3741.22,2483.838,926.469,26.892,1.457,82.819,0.595,0.142
AT000061,2970.966,2426.299,1908.342,28.772,0.373,85.923,0.615,0.0
AT000062,3741.22,2410.52,710.175,26.894,1.592,82.457,0.579,0.15
AT000063,4020.411,2211.3,655.456,26.194,1.741,83.148,0.53,0.144
AT000064,4020.411,2179.452,621.533,26.025,2.071,82.407,0.514,0.143
AT000065,3267.462,2154.472,825.513,27.629,0.375,87.936,0.676,0.148
AT000066,4020.411,2137.009,573.663,25.862,2.477,81.903,0.495,0.143
AT000067,2948.896,1959.595,1220.28,27.874,0.752,87.047,0.593,0.0
AT000068,2838.92,1850.943,1180.945,23.56,1.109,83.311,0.688,0.121
AT000069,3441.668,2023.352,1123.827,28.653,0.69,91.113,0.631,0.145
AT000070,3231.284,1946.456,1040.862,28.243,1.63,86.536,0.565,0.16
