basin_id,lai_01,lai_02,lai_03,lai_04,lai_05,lai_06,lai_07,lai_08,lai_09,lai_10,lai_11,lai_12,lai_mean,ndvi_01,ndvi_02,ndvi_03,ndvi_04,ndvi_05,ndvi_06,ndvi_07,ndvi_08,ndvi_09,ndvi_10,ndvi_11,ndvi_12,ndvi_mean
AT000001,0.016,0.014,0.024,0.05,0.098,0.174,0.22,0.204,0.147,0.07,0.037,0.046,0.092,0.045,0.049,0.09,0.191,0.373,0.581,0.655,0.645,0.561,0.421,0.253,0.085,0.329
AT000002,0.017,0.013,0.02,0.04,0.081,0.162,0.222,0.199,0.141,0.074,0.044,0.054,0.089,0.035,0.041,0.07,0.161,0.346,0.608,0.703,0.696,0.611,0.485,0.271,0.083,0.342
AT000003,0.017,0.011,0.02,0.042,0.084,0.163,0.218,0.197,0.137,0.067,0.037,0.054,0.087,0.028,0.034,0.063,0.142,0.317,0.572,0.668,0.655,0.558,0.424,0.229,0.067,0.313
AT000004,0.01,0.005,0.008,0.018,0.054,0.142,0.217,0.188,0.114,0.05,0.028,0.039,0.073,-0.014,-0.009,0.0,0.063,0.255,0.549,0.667,0.657,0.549,0.399,0.181,0.019,0.276
AT000005,0.019,0.014,0.021,0.04,0.087,0.165,0.202,0.183,0.132,0.066,0.036,0.064,0.086,0.031,0.036,0.072,0.165,0.358,0.558,0.616,0.612,0.537,0.425,0.253,0.071,0.311
AT000006,0.013,0.01,0.018,0.041,0.098,0.195,0.247,0.221,0.155,0.074,0.039,0.053,0.097,0.015,0.023,0.056,0.191,0.426,0.645,0.711,0.699,0.621,0.494,0.311,0.074,0.356
AT000007,0.023,0.015,0.027,0.055,0.108,0.196,0.245,0.221,0.158,0.078,0.045,0.072,0.104,0.059,0.063,0.111,0.213,0.4,0.623,0.698,0.688,0.605,0.48,0.297,0.107,0.362
AT000008,0.04,0.034,0.043,0.065,0.133,0.244,0.285,0.253,0.189,0.1,0.065,0.116,0.131,0.127,0.124,0.161,0.284,0.544,0.73,0.756,0.743,0.691,0.567,0.419,0.18,0.444
AT000009,0.025,0.018,0.032,0.062,0.118,0.206,0.254,0.23,0.167,0.084,0.049,0.079,0.11,0.077,0.08,0.135,0.24,0.426,0.638,0.706,0.697,0.619,0.496,0.32,0.128,0.38
AT000010,0.021,0.015,0.02,0.041,0.109,0.264,0.338,0.285,0.194,0.097,0.053,0.067,0.125,0.073,0.078,0.096,0.213,0.5,0.786,0.811,0.791,0.714,0.575,0.366,0.111,0.426
AT000011,0.058,0.053,0.107,0.186,0.254,0.308,0.332,0.316,0.263,0.137,0.082,0.141,0.186,0.371,0.383,0.564,0.674,0.717,0.746,0.755,0.762,0.742,0.665,0.581,0.476,0.62
AT000012,0.054,0.05,0.103,0.178,0.24,0.29,0.323,0.308,0.251,0.13,0.079,0.131,0.178,0.36,0.376,0.557,0.668,0.706,0.738,0.753,0.761,0.738,0.658,0.574,0.474,0.614
AT000013,0.019,0.016,0.029,0.058,0.109,0.187,0.234,0.215,0.157,0.077,0.042,0.056,0.1,0.063,0.067,0.116,0.22,0.401,0.603,0.673,0.664,0.583,0.449,0.282,0.107,0.352
AT000014,0.05,0.035,0.052,0.091,0.193,0.333,0.368,0.336,0.254,0.117,0.069,0.159,0.171,0.232,0.231,0.288,0.458,0.695,0.814,0.821,0.812,0.769,0.65,0.531,0.304,0.55
AT000015,0.036,0.033,0.077,0.192,0.306,0.375,0.401,0.382,0.316,0.159,0.087,0.115,0.207,0.21,0.226,0.404,0.666,0.778,0.814,0.816,0.818,0.796,0.718,0.595,0.33,0.598
AT000016,0.046,0.038,0.071,0.14,0.238,0.333,0.364,0.336,0.267,0.135,0.078,0.139,0.182,0.249,0.259,0.386,0.569,0.716,0.784,0.789,0.785,0.756,0.666,0.55,0.354,0.572
AT000017,0.063,0.044,0.065,0.12,0.238,0.352,0.385,0.339,0.245,0.108,0.062,0.224,0.187,0.275,0.309,0.432,0.589,0.743,0.798,0.804,0.801,0.774,0.674,0.547,0.341,0.591
AT000018,0.051,0.042,0.086,0.165,0.241,0.29,0.324,0.3,0.235,0.119,0.069,0.162,0.174,0.302,0.333,0.506,0.644,0.709,0.74,0.751,0.754,0.733,0.651,0.544,0.43,0.591
AT000019,0.048,0.039,0.077,0.15,0.239,0.317,0.349,0.322,0.255,0.129,0.075,0.147,0.179,0.27,0.289,0.434,0.6,0.713,0.767,0.774,0.773,0.747,0.66,0.548,0.385,0.58
AT000020,0.006,0.003,0.004,0.014,0.062,0.184,0.261,0.221,0.138,0.059,0.027,0.031,0.084,-0.021,-0.019,-0.014,0.063,0.333,0.667,0.747,0.72,0.602,0.438,0.207,0.014,0.311
AT000021,0.014,0.011,0.016,0.04,0.108,0.237,0.3,0.267,0.185,0.091,0.045,0.047,0.113,0.02,0.022,0.043,0.182,0.468,0.733,0.783,0.762,0.674,0.525,0.321,0.07,0.383
AT000022,0.017,0.013,0.02,0.048,0.123,0.254,0.312,0.275,0.194,0.093,0.047,0.06,0.121,0.041,0.043,0.076,0.23,0.509,0.751,0.791,0.771,0.69,0.545,0.349,0.096,0.408
AT000023,0.048,0.042,0.059,0.112,0.228,0.355,0.395,0.362,0.279,0.14,0.086,0.116,0.185,0.09,0.095,0.186,0.428,0.695,0.816,0.821,0.814,0.762,0.628,0.478,0.186,0.5
AT000024,0.013,0.007,0.008,0.023,0.09,0.232,0.293,0.258,0.174,0.08,0.037,0.055,0.106,0.028,0.028,0.028,0.126,0.436,0.726,0.779,0.752,0.673,0.538,0.331,0.073,0.377
AT000025,0.014,0.01,0.016,0.052,0.172,0.327,0.354,0.315,0.245,0.126,0.06,0.071,0.147,0.061,0.062,0.081,0.281,0.665,0.817,0.814,0.805,0.757,0.661,0.441,0.133,0.465
AT000026,0.019,0.016,0.025,0.068,0.181,0.319,0.356,0.324,0.254,0.135,0.07,0.067,0.153,0.106,0.097,0.131,0.349,0.676,0.813,0.814,0.805,0.762,0.675,0.489,0.192,0.492
AT000027,0.03,0.025,0.05,0.126,0.243,0.354,0.376,0.35,0.288,0.163,0.088,0.094,0.182,0.124,0.13,0.237,0.494,0.729,0.817,0.819,0.813,0.782,0.707,0.536,0.235,0.535
AT000028,0.033,0.033,0.096,0.252,0.334,0.367,0.383,0.382,0.351,0.219,0.125,0.104,0.223,0.174,0.222,0.455,0.741,0.791,0.811,0.818,0.824,0.817,0.765,0.643,0.338,0.617
AT000029,0.028,0.023,0.05,0.124,0.224,0.33,0.363,0.339,0.271,0.146,0.077,0.089,0.172,0.116,0.128,0.238,0.462,0.671,0.797,0.812,0.804,0.76,0.661,0.497,0.218,0.514
AT000030,0.044,0.04,0.092,0.195,0.333,0.389,0.404,0.389,0.324,0.174,0.092,0.119,0.216,0.274,0.316,0.524,0.719,0.808,0.826,0.83,0.835,0.818,0.755,0.601,0.408,0.643
AT000032,0.056,0.055,0.141,0.29,0.33,0.379,0.397,0.39,0.358,0.223,0.132,0.155,0.242,0.3,0.331,0.597,0.766,0.787,0.807,0.817,0.823,0.819,0.772,0.659,0.483,0.663
AT000033,0.001,0.0,0.0,0.002,0.02,0.109,0.201,0.174,0.1,0.041,0.014,0.008,0.056,-0.036,-0.036,-0.043,-0.029,0.149,0.541,0.687,0.658,0.511,0.336,0.092,-0.026,0.233
AT000034,0.003,0.002,0.001,0.004,0.025,0.108,0.186,0.169,0.106,0.051,0.021,0.015,0.058,-0.026,-0.028,-0.034,-0.01,0.172,0.524,0.659,0.647,0.524,0.376,0.142,-0.005,0.245
AT000035,0.006,0.005,0.006,0.014,0.045,0.134,0.206,0.183,0.116,0.056,0.026,0.023,0.068,-0.022,-0.02,-0.019,0.032,0.242,0.57,0.682,0.668,0.55,0.396,0.166,0.006,0.271
AT000036,0.016,0.014,0.016,0.036,0.07,0.138,0.182,0.166,0.119,0.065,0.039,0.078,0.078,0.013,0.018,0.061,0.162,0.339,0.555,0.636,0.636,0.567,0.449,0.255,0.062,0.313
AT000037,0.02,0.012,0.019,0.039,0.081,0.162,0.208,0.189,0.134,0.074,0.044,0.075,0.088,0.053,0.052,0.082,0.197,0.427,0.64,0.702,0.702,0.637,0.529,0.349,0.108,0.373
AT000038,0.02,0.013,0.021,0.041,0.083,0.159,0.208,0.19,0.137,0.074,0.044,0.068,0.088,0.039,0.038,0.07,0.179,0.376,0.598,0.676,0.671,0.597,0.482,0.296,0.092,0.343
AT000039,0.044,0.026,0.049,0.101,0.185,0.277,0.312,0.297,0.244,0.132,0.08,0.113,0.155,0.173,0.147,0.247,0.453,0.648,0.764,0.793,0.787,0.748,0.649,0.5,0.245,0.513
AT000040,0.025,0.014,0.016,0.03,0.062,0.111,0.135,0.125,0.093,0.057,0.041,0.085,0.066,0.04,0.035,0.059,0.156,0.334,0.486,0.542,0.551,0.506,0.422,0.286,0.098,0.293
AT000041,0.052,0.031,0.049,0.088,0.153,0.226,0.253,0.236,0.193,0.107,0.074,0.135,0.133,0.18,0.174,0.238,0.424,0.605,0.697,0.724,0.729,0.697,0.628,0.513,0.263,0.489
AT000042,0.022,0.016,0.016,0.031,0.071,0.132,0.162,0.151,0.117,0.069,0.046,0.083,0.076,0.043,0.037,0.057,0.167,0.374,0.542,0.592,0.597,0.552,0.466,0.294,0.093,0.318
AT000043,0.035,0.021,0.033,0.066,0.13,0.216,0.246,0.22,0.168,0.089,0.055,0.107,0.116,0.102,0.099,0.16,0.331,0.535,0.663,0.704,0.698,0.651,0.559,0.395,0.171,0.422
AT000044,0.009,0.007,0.01,0.021,0.047,0.111,0.162,0.15,0.1,0.047,0.023,0.032,0.06,-0.02,-0.01,0.008,0.068,0.235,0.501,0.607,0.592,0.488,0.308,0.132,0.004,0.243
AT000045,0.008,0.006,0.01,0.021,0.048,0.101,0.135,0.123,0.087,0.042,0.021,0.025,0.052,-0.009,-0.005,0.006,0.072,0.221,0.43,0.507,0.501,0.429,0.289,0.136,0.016,0.216
AT000046,0.011,0.008,0.012,0.025,0.054,0.108,0.143,0.131,0.092,0.045,0.024,0.033,0.057,0.0,0.004,0.02,0.089,0.241,0.448,0.525,0.518,0.446,0.307,0.153,0.027,0.231
AT000047,0.0,0.0,0.0,0.0,0.005,0.03,0.057,0.054,0.033,0.015,0.006,0.002,0.017,-0.049,-0.039,-0.043,-0.044,-0.008,0.106,0.188,0.188,0.129,0.059,-0.011,-0.05,0.035
AT000048,0.002,0.002,0.002,0.005,0.021,0.074,0.136,0.127,0.077,0.033,0.013,0.008,0.042,-0.036,-0.029,-0.033,-0.022,0.097,0.369,0.53,0.529,0.401,0.255,0.068,-0.028,0.175
AT000049,0.001,0.0,0.001,0.004,0.021,0.071,0.119,0.111,0.065,0.027,0.012,0.008,0.037,-0.048,-0.041,-0.045,-0.022,0.092,0.326,0.453,0.451,0.331,0.194,0.044,-0.034,0.142
AT000050,0.006,0.005,0.009,0.02,0.047,0.104,0.155,0.14,0.091,0.044,0.023,0.028,0.056,-0.017,-0.01,-0.005,0.046,0.191,0.432,0.551,0.544,0.441,0.296,0.123,0.005,0.217
AT000051,0.012,0.009,0.014,0.028,0.06,0.118,0.17,0.154,0.103,0.051,0.029,0.041,0.066,-0.0,0.005,0.022,0.083,0.233,0.463,0.58,0.574,0.476,0.336,0.162,0.025,0.247
AT000052,0.049,0.027,0.042,0.073,0.125,0.185,0.213,0.196,0.161,0.095,0.068,0.142,0.115,0.143,0.127,0.197,0.327,0.511,0.633,0.691,0.692,0.662,0.585,0.439,0.228,0.436
AT000053,0.015,0.011,0.017,0.033,0.065,0.119,0.156,0.142,0.102,0.052,0.03,0.047,0.066,0.016,0.02,0.044,0.117,0.266,0.464,0.547,0.541,0.469,0.337,0.182,0.047,0.254
AT000054,0.004,0.003,0.003,0.01,0.029,0.071,0.101,0.092,0.062,0.035,0.02,0.018,0.037,-0.036,-0.029,-0.029,-0.001,0.099,0.266,0.353,0.351,0.276,0.178,0.06,-0.026,0.122
AT000055,0.0,0.0,0.0,0.0,0.0,0.003,0.01,0.01,0.009,0.004,0.0,0.0,0.003,-0.036,-0.032,-0.037,-0.044,-0.043,-0.041,-0.031,-0.023,-0.022,-0.032,-0.031,-0.039,-0.034
AT000056,0.001,0.0,0.0,0.003,0.009,0.029,0.047,0.045,0.031,0.018,0.006,0.003,0.016,-0.05,-0.039,-0.039,-0.035,0.002,0.081,0.13,0.133,0.097,0.04,-0.015,-0.048,0.021
AT000057,0.0,0.0,0.0,0.001,0.006,0.035,0.071,0.066,0.042,0.018,0.004,0.002,0.02,-0.047,-0.037,-0.042,-0.042,0.004,0.139,0.228,0.234,0.164,0.066,-0.009,-0.046,0.051
AT000058,0.004,0.003,0.005,0.013,0.03,0.068,0.095,0.086,0.06,0.032,0.015,0.015,0.036,-0.034,-0.024,-0.02,0.009,0.096,0.241,0.316,0.317,0.253,0.149,0.046,-0.024,0.111
AT000059,0.004,0.003,0.003,0.007,0.028,0.074,0.111,0.1,0.072,0.039,0.024,0.025,0.041,-0.016,-0.015,-0.019,0.002,0.149,0.384,0.508,0.502,0.417,0.291,0.119,-0.003,0.193
AT000060,0.009,0.007,0.012,0.025,0.047,0.085,0.113,0.101,0.075,0.042,0.023,0.028,0.047,-0.012,-0.004,0.011,0.054,0.154,0.301,0.378,0.377,0.313,0.212,0.097,0.004,0.157
AT000061,0.001,0.0,0.0,0.001,0.006,0.034,0.062,0.06,0.04,0.02,0.008,0.004,0.02,-0.052,-0.039,-0.046,-0.039,0.038,0.259,0.382,0.387,0.313,0.194,0.033,-0.046,0.115
AT000062,0.013,0.009,0.016,0.03,0.055,0.096,0.124,0.111,0.083,0.046,0.026,0.039,0.054,0.003,0.01,0.031,0.077,0.182,0.332,0.408,0.407,0.343,0.241,0.122,0.022,0.182
AT000063,0.016,0.011,0.018,0.034,0.065,0.117,0.153,0.139,0.1,0.052,0.03,0.049,0.066,0.019,0.023,0.048,0.116,0.256,0.442,0.523,0.518,0.447,0.324,0.176,0.047,0.245
AT000064,0.019,0.013,0.02,0.037,0.07,0.121,0.157,0.142,0.104,0.055,0.033,0.054,0.069,0.026,0.03,0.059,0.129,0.267,0.45,0.529,0.524,0.455,0.334,0.187,0.056,0.254
AT000065,0.015,0.009,0.014,0.03,0.065,0.125,0.164,0.147,0.106,0.059,0.033,0.048,0.068,0.018,0.017,0.038,0.104,0.28,0.486,0.571,0.564,0.489,0.354,0.189,0.045,0.263
AT000066,0.021,0.014,0.022,0.041,0.075,0.127,0.163,0.148,0.109,0.057,0.034,0.059,0.072,0.035,0.039,0.073,0.145,0.284,0.463,0.54,0.536,0.468,0.347,0.201,0.067,0.266
AT000067,0.016,0.011,0.02,0.035,0.077,0.167,0.214,0.191,0.123,0.057,0.029,0.053,0.083,0.042,0.038,0.069,0.17,0.377,0.6,0.676,0.661,0.559,0.398,0.214,0.08,0.324
AT000068,0.013,0.009,0.016,0.04,0.105,0.207,0.26,0.227,0.157,0.077,0.036,0.05,0.1,0.031,0.034,0.053,0.18,0.483,0.678,0.734,0.717,0.642,0.483,0.26,0.08,0.365
AT000069,0.011,0.007,0.013,0.033,0.078,0.169,0.226,0.203,0.135,0.066,0.03,0.042,0.084,-0.001,0.008,0.037,0.14,0.36,0.596,0.679,0.662,0.56,0.386,0.193,0.043,0.305
AT000070,0.013,0.01,0.019,0.042,0.087,0.156,0.197,0.179,0.132,0.068,0.034,0.051,0.082,0.013,0.022,0.054,0.154,0.36,0.543,0.625,0.624,0.543,0.39,0.204,0.052,0.299
AT000071,0.016,0.011,0.021,0.045,0.097,0.183,0.232,0.207,0.146,0.074,0.036,0.056,0.094,0.03,0.035,0.071,0.186,0.416,0.612,0.684,0.673,0.588,0.432,0.239,0.077,0.337
AT000072,0.017,0.011,0.024,0.048,0.099,0.188,0.246,0.222,0.16,0.086,0.04,0.053,0.099,0.037,0.05,0.099,0.202,0.426,0.665,0.741,0.723,0.64,0.478,0.27,0.083,0.368
AT000073,0.011,0.007,0.009,0.022,0.048,0.102,0.131,0.119,0.084,0.045,0.026,0.04,0.054,-0.024,-0.009,-0.001,0.041,0.169,0.339,0.422,0.426,0.354,0.234,0.098,-0.008,0.17
AT000074,0.025,0.017,0.03,0.061,0.114,0.186,0.227,0.205,0.153,0.082,0.045,0.077,0.102,0.058,0.064,0.118,0.225,0.414,0.579,0.644,0.64,0.572,0.437,0.272,0.105,0.344
AT000075,0.03,0.018,0.027,0.057,0.109,0.195,0.251,0.23,0.164,0.082,0.044,0.09,0.108,0.099,0.092,0.119,0.2,0.403,0.644,0.733,0.72,0.633,0.495,0.305,0.139,0.382
AT000076,0.03,0.017,0.028,0.069,0.128,0.22,0.279,0.255,0.183,0.092,0.05,0.09,0.12,0.093,0.081,0.127,0.241,0.451,0.692,0.766,0.755,0.678,0.542,0.34,0.135,0.408
AT000077,0.023,0.015,0.026,0.049,0.087,0.143,0.18,0.163,0.121,0.064,0.038,0.067,0.081,0.049,0.053,0.095,0.176,0.321,0.494,0.568,0.564,0.497,0.377,0.229,0.086,0.292
AT000078,0.008,0.005,0.006,0.014,0.033,0.084,0.123,0.11,0.071,0.036,0.021,0.033,0.045,-0.009,-0.005,-0.002,0.037,0.158,0.358,0.474,0.475,0.37,0.237,0.107,0.009,0.184
AT000079,0.0,0.0,0.0,0.001,0.007,0.046,0.087,0.078,0.047,0.023,0.008,0.003,0.025,-0.04,-0.034,-0.041,-0.034,0.039,0.227,0.343,0.338,0.24,0.13,0.019,-0.034,0.096
AT000080,0.008,0.005,0.008,0.018,0.041,0.101,0.139,0.126,0.083,0.041,0.023,0.032,0.052,-0.02,-0.009,-0.001,0.038,0.166,0.347,0.444,0.443,0.346,0.224,0.094,-0.003,0.172
AT000081,0.011,0.007,0.012,0.034,0.081,0.161,0.209,0.193,0.137,0.071,0.035,0.038,0.082,-0.007,0.004,0.025,0.118,0.336,0.554,0.65,0.64,0.542,0.392,0.182,0.029,0.289
AT000082,0.014,0.009,0.014,0.03,0.062,0.129,0.169,0.154,0.105,0.054,0.031,0.047,0.068,0.001,0.011,0.029,0.09,0.244,0.438,0.536,0.533,0.435,0.301,0.149,0.027,0.233
AT000083,0.002,0.001,0.002,0.013,0.057,0.138,0.205,0.185,0.129,0.064,0.027,0.02,0.07,-0.018,-0.024,-0.029,0.038,0.29,0.592,0.716,0.695,0.582,0.41,0.163,0.012,0.286
AT000084,0.015,0.01,0.019,0.04,0.075,0.144,0.186,0.169,0.12,0.063,0.035,0.051,0.077,0.012,0.021,0.05,0.121,0.281,0.471,0.566,0.561,0.468,0.334,0.176,0.043,0.259
AT000085,0.012,0.01,0.012,0.027,0.071,0.152,0.204,0.182,0.127,0.068,0.036,0.036,0.078,0.023,0.023,0.025,0.106,0.333,0.558,0.65,0.64,0.549,0.399,0.222,0.057,0.299
AT000086,0.02,0.015,0.021,0.045,0.096,0.181,0.235,0.208,0.148,0.081,0.045,0.059,0.096,0.04,0.043,0.064,0.164,0.386,0.599,0.684,0.672,0.588,0.44,0.262,0.08,0.335
AT000087,0.019,0.013,0.024,0.053,0.095,0.171,0.217,0.196,0.143,0.077,0.043,0.06,0.093,0.035,0.043,0.083,0.17,0.347,0.541,0.626,0.62,0.534,0.399,0.233,0.078,0.309
AT000088,0.023,0.015,0.026,0.051,0.09,0.149,0.187,0.17,0.127,0.068,0.04,0.067,0.084,0.05,0.054,0.098,0.182,0.332,0.506,0.58,0.575,0.507,0.385,0.236,0.089,0.299
AT000089,0.049,0.022,0.027,0.046,0.087,0.14,0.175,0.172,0.14,0.079,0.047,0.142,0.094,0.108,0.111,0.14,0.258,0.472,0.617,0.667,0.68,0.642,0.553,0.408,0.166,0.402
AT000090,0.059,0.047,0.061,0.094,0.163,0.251,0.285,0.274,0.229,0.134,0.092,0.129,0.151,0.229,0.188,0.246,0.423,0.627,0.732,0.757,0.765,0.726,0.624,0.555,0.342,0.518
AT000091,0.044,0.032,0.05,0.086,0.17,0.288,0.324,0.302,0.233,0.115,0.071,0.126,0.153,0.205,0.199,0.272,0.437,0.661,0.774,0.797,0.794,0.746,0.637,0.526,0.309,0.53
AT000092,0.032,0.02,0.048,0.14,0.251,0.316,0.348,0.314,0.26,0.139,0.075,0.115,0.172,0.123,0.128,0.269,0.599,0.758,0.782,0.803,0.802,0.781,0.687,0.545,0.243,0.543
AT000093,0.017,0.013,0.026,0.078,0.158,0.257,0.304,0.269,0.215,0.117,0.06,0.054,0.131,0.076,0.075,0.129,0.335,0.583,0.733,0.785,0.769,0.722,0.586,0.409,0.163,0.447
AT000094,0.016,0.012,0.023,0.061,0.123,0.222,0.272,0.24,0.183,0.101,0.053,0.052,0.113,0.066,0.066,0.111,0.272,0.5,0.694,0.762,0.744,0.686,0.555,0.37,0.133,0.413
